source,target,weight
1009220,1009318,12
1009220,1009215,83
1009220,1009524,132
1009220,1010370,9
1009220,1009337,26
1009220,1009182,7
1009220,1011490,77
1009220,1009508,5
1009220,1009466,58
1009220,1011299,7
1009220,1009219,4
1009220,1009719,111
1009220,1009554,7
1009220,1009372,18
1009220,1009499,5
1009220,1009343,72
1009220,1009277,7
1009220,1009452,44
1009220,1009389,16
1009220,1009609,10
1009220,1009224,45
1009220,1010771,5
1009220,1009652,22
1009220,1009288,4
1009220,1009365,11
1009220,1009480,18
1009220,1009267,2
1009220,1010738,2
1009220,1011023,5
1009220,1009379,29
1009220,1009477,17
1009220,1009608,124
1009220,1009312,22
1009220,1009327,14
1009220,1016181,16
1009220,1009382,10
1009220,1009297,160
1009220,1009638,6
1009220,1009325,27
1009220,1009577,14
1009220,1009722,3
1009220,1010354,12
1009718,1009664,3
1009718,1009165,176
1009718,1009351,187
1009718,1009299,50
1009718,1009356,64
1009718,1009262,39
1009718,1009662,90
1009718,1009257,504
1009718,1009268,100
1009718,1009282,64
1009718,1009629,514
1009718,1009366,45
1009718,1009175,325
1009718,1009243,488
1009718,1009515,40
1009718,1009187,23
1009718,1010791,44
1009718,1009459,67
1009718,1009546,354
1009718,1009472,394
1009718,1009592,15
1009718,1009338,98
1009718,1009362,222
1009718,1009159,201
1009718,1009697,36
1009718,1009313,238
1009718,1009214,67
1009718,1009562,49
1009718,1009471,56
1009718,1009189,39
1009718,1010338,52
1009718,1009583,39
1009718,1009724,78
1009718,1009512,244
1009718,1009707,45
1009718,1009281,30
1009718,1009417,146
1009718,1009708,14
1009718,1011336,13
1009718,1009407,8
1009718,1009504,166
1009718,1009310,183
1009718,1009367,33
1009718,1010360,1
1009718,1009318,25
1009718,1009215,68
1009718,1009524,42
1009718,1010370,26
1009718,1009337,145
1009718,1009182,104
1009718,1011490,14
1009718,1009508,142
1009718,1009466,31
1009718,1011299,3
1009718,1009219,108
1009718,1009719,33
1009718,1011109,16
1009718,1009554,103
1009718,1009372,21
1009718,1009499,85
1009718,1009343,12
1009718,1009277,30
1009718,1009452,26
1009718,1009389,17
1009718,1009609,8
1009718,1009224,18
1009718,1010771,4
1009718,1009652,15
1009718,1009288,24
1009718,1009381,152
1009718,1009365,2
1009718,1009480,7
1009718,1009267,81
1009718,1010738,10
1009718,1009705,44
1009718,1009379,3
1009718,1009477,9
1009718,1009608,108
1009718,1009312,15
1009718,1009327,63
1009718,1016181,1
1009718,1009382,52
1009718,1009297,8
1009718,1009638,41
1009718,1009325,17
1009718,1009577,7
1009718,1009722,47
1009718,1010354,21
1009664,1009165,13
1009664,1009351,6
1009664,1009299,4
1009664,1009356,3
1009664,1009262,2
1009664,1009282,3
1009664,1009187,6
1009664,1009592,1
1009664,1009338,2
1009664,1009697,1
1009664,1009471,1
1009664,1009189,2
1009664,1010338,5
1009664,1009583,5
1009664,1009707,1
1009664,1009281,3
1009664,1009708,1
1009664,1009407,11
1009664,1011299,1
1009664,1009389,1
1009664,1009224,1
1009664,1009365,1
1009664,1009480,6
1009664,1010738,1
1009664,1016181,1
1009664,1009577,1
1009165,1009351,210
1009165,1009299,116
1009165,1009356,53
1009165,1009262,45
1009165,1009662,55
1009165,1009257,16
1009165,1009268,13
1009165,1009282,51
1009165,1009629,8
1009165,1009366,40
1009165,1009175,75
1009165,1009243,15
1009165,1009515,10
1009165,1009187,152
1009165,1010791,46
1009165,1009459,36
1009165,1009546,25
1009165,1009472,3
1009165,1009592,34
1009165,1009338,261
1009165,1009362,6
1009165,1009159,4
1009165,1009697,352
1009165,1009313,5
1009165,1009214,15
1009165,1009562,328
1009165,1009471,69
1009165,1009189,131
1009165,1010338,130
1009165,1009583,105
1009165,1009724,6
1009165,1009512,3
1009165,1009707,270
1009165,1009281,43
1009165,1009417,28
1009165,1009708,29
1009165,1011336,1
1009165,1009407,44
1009165,1009504,6
1009165,1009310,8
1009165,1009367,16
1009165,1010360,21
1009165,1009318,6
1009165,1009215,70
1009165,1009524,167
1009165,1010370,17
1009165,1009337,4
1009165,1009182,1
1009165,1011490,97
1009165,1009508,3
1009165,1009466,46
1009165,1011299,13
1009165,1009219,4
1009165,1009719,132
1009165,1009554,14
1009165,1009372,31
1009165,1009499,1
1009165,1009343,96
1009165,1009277,7
1009165,1009452,14
1009165,1009389,7
1009165,1009609,1
1009165,1009224,12
1009165,1010771,1
1009165,1009652,57
1009165,1009288,9
1009165,1009381,2
1009165,1009365,21
1009165,1009480,16
1009165,1009267,2
1009165,1010738,2
1009165,1011023,7
1009165,1009379,32
1009165,1009477,10
1009165,1009608,95
1009165,1009312,26
1009165,1009327,2
1009165,1016181,20
1009165,1009382,9
1009165,1009297,36
1009165,1009638,2
1009165,1009325,23
1009165,1009577,3
1009165,1009722,5
1009165,1010354,14
1009351,1009299,75
1009351,1009356,83
1009351,1009262,44
1009351,1009662,100
1009351,1009257,48
1009351,1009268,14
1009351,1009282,79
1009351,1009629,38
1009351,1009366,60
1009351,1009175,40
1009351,1009243,40
1009351,1009515,13
1009351,1009187,30
1009351,1010791,36
1009351,1009459,83
1009351,1009546,26
1009351,1009472,29
1009351,1009592,44
1009351,1009338,88
1009351,1009362,22
1009351,1009159,16
1009351,1009697,58
1009351,1009313,7
1009351,1009214,4
1009351,1009562,52
1009351,1009471,42
1009351,1009189,51
1009351,1010338,36
1009351,1009583,63
1009351,1009512,4
1009351,1010852,2
1009351,1009707,72
1009351,1009281,51
1009351,1009417,25
1009351,1009708,5
1009351,1011336,1
1009351,1009407,35
1009351,1009504,23
1009351,1009310,2
1009351,1009367,6
1009351,1010360,4
1009351,1009318,19
1009351,1009215,10
1009351,1009524,38
1009351,1010892,2
1009351,1010370,6
1009351,1009337,10
1009351,1009182,3
1009351,1011490,32
1009351,1009508,2
1009351,1009466,21
1009351,1011299,2
1009351,1009219,5
1009351,1009719,15
1009351,1009554,7
1009351,1009372,1
1009351,1009499,8
1009351,1009343,27
1009351,1009277,5
1009351,1009452,8
1009351,1009389,4
1009351,1009609,4
1009351,1009224,31
1009351,1009652,26
1009351,1009288,3
1009351,1009365,6
1009351,1009480,6
1009351,1009267,4
1009351,1010738,8
1009351,1009705,1
1009351,1011023,15
1009351,1009379,109
1009351,1009477,8
1009351,1009608,31
1009351,1009312,21
1009351,1009327,10
1009351,1016181,2
1009351,1009382,13
1009351,1009297,18
1009351,1009638,3
1009351,1009325,10
1009351,1009577,6
1009351,1009722,1
1009351,1010354,19
1009299,1009356,817
1009299,1009262,57
1009299,1009662,698
1009299,1009257,16
1009299,1009268,5
1009299,1009282,33
1009299,1009629,15
1009299,1009366,773
1009299,1009175,10
1009299,1009243,10
1009299,1009515,1
1009299,1009187,58
1009299,1010791,23
1009299,1009459,507
1009299,1009546,3
1009299,1009472,4
1009299,1009592,73
1009299,1009338,5
1009299,1009362,11
1009299,1009697,19
1009299,1009313,3
1009299,1009214,1
1009299,1009562,18
1009299,1009471,34
1009299,1009189,5
1009299,1010338,54
1009299,1009583,102
1009299,1009724,1
1009299,1009512,5
1009299,1009707,20
1009299,1009281,178
1009299,1009417,12
1009299,1009708,18
1009299,1011336,2
1009299,1009407,7
1009299,1009504,12
1009299,1009310,6
1009299,1009367,5
1009299,1010360,4
1009299,1009318,8
1009299,1009215,12
1009299,1009524,16
1009299,1010370,6
1009299,1009337,1
1009299,1009182,3
1009299,1011490,11
1009299,1009508,1
1009299,1009466,65
1009299,1011299,2
1009299,1009719,5
1009299,1009372,23
1009299,1009499,1
1009299,1009343,11
1009299,1009277,1
1009299,1009452,3
1009299,1009389,5
1009299,1009224,4
1009299,1009652,11
1009299,1009365,32
1009299,1009480,4
1009299,1009267,3
1009299,1010738,7
1009299,1009705,1
1009299,1009379,2
1009299,1009477,6
1009299,1009608,8
1009299,1009312,84
1009299,1009327,1
1009299,1009382,3
1009299,1010373,1
1009299,1009297,3
1009299,1009638,1
1009299,1009325,3
1009299,1009577,1
1009299,1009722,2
1009299,1010354,7
1009356,1009262,40
1009356,1009662,741
1009356,1009257,37
1009356,1009268,6
1009356,1009282,32
1009356,1009629,51
1009356,1009366,772
1009356,1009175,21
1009356,1009243,33
1009356,1009515,7
1009356,1009187,50
1009356,1010791,81
1009356,1009459,547
1009356,1009546,32
1009356,1009472,27
1009356,1009592,51
1009356,1009338,30
1009356,1009362,19
1009356,1009159,11
1009356,1009697,42
1009356,1009313,10
1009356,1009214,5
1009356,1009562,43
1009356,1009471,39
1009356,1009189,17
1009356,1010338,60
1009356,1009583,120
1009356,1009512,5
1009356,1009707,67
1009356,1009281,135
1009356,1009417,19
1009356,1009708,6
1009356,1009407,6
1009356,1009504,29
1009356,1009310,4
1009356,1009367,9
1009356,1009318,10
1009356,1009215,10
1009356,1009524,33
1009356,1010370,2
1009356,1009337,2
1009356,1009182,7
1009356,1011490,12
1009356,1009508,2
1009356,1009466,66
1009356,1009219,9
1009356,1009719,17
1009356,1009372,10
1009356,1009499,2
1009356,1009343,13
1009356,1009277,1
1009356,1009452,4
1009356,1009389,9
1009356,1009609,6
1009356,1009224,24
1009356,1009652,7
1009356,1009288,5
1009356,1009365,27
1009356,1009480,2
1009356,1010738,6
1009356,1009379,1
1009356,1009477,10
1009356,1009608,8
1009356,1009312,66
1009356,1009327,7
1009356,1009382,5
1009356,1009297,9
1009356,1009638,4
1009356,1009325,7
1009356,1009577,1
1009356,1010354,8
1009262,1009662,48
1009262,1009257,13
1009262,1009268,12
1009262,1009282,36
1009262,1009629,9
1009262,1009366,41
1009262,1009175,13
1009262,1009243,5
1009262,1009515,80
1009262,1009187,29
1009262,1010791,10
1009262,1009459,43
1009262,1009546,3
1009262,1009472,6
1009262,1009592,18
1009262,1009338,15
1009262,1009362,7
1009262,1009159,3
1009262,1009697,13
1009262,1009313,4
1009262,1009562,16
1009262,1009471,27
1009262,1009189,128
1009262,1010338,10
1009262,1009583,13
1009262,1009512,3
1009262,1009707,14
1009262,1009281,24
1009262,1009417,8
1009262,1009708,12
1009262,1009407,15
1009262,1009310,3
1009262,1009367,52
1009262,1009318,15
1009262,1009215,45
1009262,1009524,9
1009262,1010370,5
1009262,1009337,1
1009262,1011490,13
1009262,1009508,2
1009262,1009466,7
1009262,1011299,2
1009262,1009219,1
1009262,1009719,10
1009262,1009554,2
1009262,1009372,20
1009262,1009343,8
1009262,1009277,2
1009262,1009452,24
1009262,1009389,115
1009262,1009609,4
1009262,1009224,9
1009262,1009652,8
1009262,1009288,71
1009262,1009365,5
1009262,1009480,3
1009262,1009267,2
1009262,1011023,1
1009262,1009379,2
1009262,1009477,6
1009262,1009608,7
1009262,1009312,6
1009262,1009327,7
1009262,1016181,1
1009262,1009382,1
1009262,1009297,7
1009262,1009638,1
1009262,1009325,5
1009262,1009577,14
1009262,1010354,3
1009662,1009257,49
1009662,1009268,4
1009662,1009282,46
1009662,1009629,48
1009662,1009366,665
1009662,1009175,32
1009662,1009243,34
1009662,1009515,10
1009662,1009187,47
1009662,1010791,26
1009662,1009459,507
1009662,1009546,21
1009662,1009472,29
1009662,1009592,55
1009662,1009338,49
1009662,1009362,14
1009662,1009159,9
1009662,1009697,27
1009662,1009313,10
1009662,1009214,1
1009662,1009562,33
1009662,1009471,30
1009662,1009189,16
1009662,1010338,54
1009662,1009583,73
1009662,1009512,3
1009662,1009707,48
1009662,1009281,136
1009662,1009417,24
1009662,1009708,6
1009662,1009407,13
1009662,1009504,26
1009662,1009310,9
1009662,1009367,24
1009662,1009318,6
1009662,1009215,33
1009662,1009524,25
1009662,1010370,5
1009662,1009337,3
1009662,1009182,5
1009662,1011490,20
1009662,1009508,2
1009662,1009466,68
1009662,1011299,4
1009662,1009719,16
1009662,1009372,11
1009662,1009499,2
1009662,1009343,11
1009662,1009277,3
1009662,1009452,9
1009662,1009389,6
1009662,1009609,9
1009662,1009224,35
1009662,1010771,1
1009662,1009652,15
1009662,1009288,3
1009662,1009381,2
1009662,1009365,20
1009662,1009480,2
1009662,1009267,1
1009662,1010738,6
1009662,1011023,3
1009662,1009379,4
1009662,1009477,13
1009662,1009608,29
1009662,1009312,55
1009662,1009327,7
1009662,1009382,5
1009662,1009297,9
1009662,1009638,4
1009662,1009325,6
1009662,1009577,8
1009662,1009722,1
1009662,1010354,13
1009257,1009268,7
1009257,1009282,15
1009257,1009629,334
1009257,1009366,27
1009257,1009175,376
1009257,1009243,309
1009257,1009515,4
1009257,1009187,12
1009257,1010791,25
1009257,1009459,46
1009257,1009546,186
1009257,1009472,214
1009257,1009592,10
1009257,1009338,27
1009257,1009362,241
1009257,1009159,200
1009257,1009697,15
1009257,1009313,146
1009257,1009214,60
1009257,1009562,27
1009257,1009471,16
1009257,1009189,8
1009257,1010338,5
1009257,1009583,21
1009257,1009724,17
1009257,1009512,127
1009257,1009707,25
1009257,1009281,18
