120,曼城，想想都兴奋
121,来中超吧！
122,泰达
123,曼城是最好的选择，相容性太好，去曼城我敢肯定下赛季曼城会是三冠王
124,广州恒大
125,我选了皇马，反正闲着也是闲着
126,梅西如果这样离开巴萨 真的过去十多年的努力白费了
127,国安
128,去拜仁狠狠打巴萨脸
129,怎么没有中超的球队
130,去国际米兰才是一盘大棋
131,闭眼选曼城
132,希望梅老板去尤文，我愿意出100，输赢都不在乎，就想靠他家踢，明年争取去都灵看一场
133,头图里都有米兰，投票里没有！干嘛呢
134,不会来车子，也不希望他来
135,头这种票管用吗？管用的话我投山东鲁能。
136,阿森纳就连球迷投票都是百分之4呗
137,上港
138,梅西到底哪边是花臂
139,大概率曼城 下赛季五冠王
140,其实感觉、最不会的就是皇马！虽然我是皇马球迷、但是真心为梅西惋惜！终老一只球队在现在的足球大环境里、真的太难了！
141,只能来红魔。
142,怎么没六大联赛的球队
143,意甲拿下梅西的战略意义显然更高
144,为什么会混进阿森纳和皇马
145,意甲拿下梅西的战略意义显然更高
146,曼城概率大，尤文是老球迷的愿望
147,作为一个美凌格坚决投了皇马
148,曼联球迷，车子那图有点帅
149,我不管，我就要投阿森纳
150,意甲可能，英超没戏，英超要求全场跑动拼抢，体能跟不上
151,只希望梅西去曼城曼联尤文
152,曼城吧，英超比赛时间相对好一点。
153,我个人认为去尤文跟C罗一左一右挺好，嗯来劲了
154,步小罗后尘
155,梅西会参考投票结果的吧
156,"还用问嘛？
下载最新直播吧客户端查看图片"
157,先要看财力，后要看梅西意愿。
158,国际米兰
159,真的想看梅罗同队
160,来中超
161,穿皇马的球衣真帅气
162,想让热刺那个大梅吹展示一下他怎么用梅西
163,梅西和丁丁的位置是不是重叠了？？
164,梅西的选择和大家应该也差不多！
165,来中超吧
166,觉得去尤文是最合适的，就都别吵吵了，让我们安静看球等待他们的退役
167,来皇马
168,去尤文梅罗组合两巨头是无敌
169,来我大深圳，每个月赞助100
170,阿森纳你搞个漫画啥意思嘛
171,利物浦不行吗
172,为什么会有阿森纳？没4找4？
173,梅西穿这国米球衣真的不好看
174,只能是曼城
175,梅西穿红色球衣真的难看的要死。
176,来拜仁吧
177,曼城
178,贝尔都让姓白的实锤到苏宁了，继续苏宁啊！
179,感觉会是巴黎、国米、尤文这三支，梅西年轻5岁去英超还靠谱点
180,去找内马尔还是去找阿坤？
181,最理性地来说，梅西去尤文一点可能都没有，跟C罗都是绝代双骄之一，去了尤文效果只能是1+1＜2（就广告影响力方面）。意甲要想兴起，国米签下梅西，这样整个意甲的影响力才会1+1＞2
182,这么多选尤文的 都是C罗球迷吧 我也选尤文
183,排除感情因素，觉得梅老板穿尤文球衣挺好看
184,快把米兰队服照P上让我乐呵乐呵
185,我们大建业怎么不在选项中，差评
186,我希望是尤文，晚年和C罗组队一次
187,阿森纳来凑什么热闹，哈哈
188,梅西既然已经给巴萨发了正式通知了，那么他肯定已经找到下家了。不可能出现梅西单方面提出解除合同然后再寻找下家。
189,我觉得是鲁能
190,我倒真的希望去尤文
191,去尤文一个做饼 一个吃饼
192,梅西穿阿森纳球衣挺帅气的，但是阿森纳没钱。
193,那不勒斯欢迎你，来吧，证明你和马球王一样优秀。
194,投破厂的是想疯了吧
195,不是曼城就是巴黎，得很有钱的球队就是了
196,赶紧把图片里的米兰队服去掉，我毛没钱卖不起
197,米兰啊啊啊啊啊
198,投了曼城，但很想他去尤文跟C罗组合
199,为啥没我们河南建业
200,退役
201,我投的国米
202,那边科密詹密都和好了，这边罗密梅密也在最后几年的职业生涯站在一条战线吧
203,希望来皇马，最酸爽。希望去尤文，圆梦我一代人梅罗梦
204,去尤文就好了，我游戏都是这么玩的，可惜老了。。。更可惜的是尤文没钱。。。
205,去尤文吧，和c罗一起踢几年，不管踢的怎么样，这绝对是足球史上的一大历史
206,皇马就离谱
207,投尤文的...
208,老男孩
209,米兰的10号
210,我觉得去切尔西蛮好的，车子没有主席，一切都是阿布说了算，阿布是个好老板
211,中超不考虑一下嘛
212,除了米兰和阿森纳，其他球队都没戏
213,最不可能的就是曼城，瓜迪奥拉当时离开巴萨，梅西和他的关系并不是大家想象的那么好，另外曼城刚刚经历公平法案，要是巨资签下梅西，岂不是又给欧足联一大耳光。
214,有财政公平政策，能签的球队很少！
215,其实我是想投阿森纳的
216,去英超 热刺
217,关键谁给的起工资
218,我猜不会离开
219,山东鲁能
220,去 卓尔
221,梅西去了曼城，曼联就得砸钱买桑乔……
222,就不要放曼联出来了，曼联是不会买的。你放心
223,纽维尔老伙计
224,梅西C罗做了这么多年对手了，要不暮年联合吧。
225,看见那%5的皇马我就想笑
226,去尤文吧，双剑合璧，绝对劲爆
227,穿上米兰球衣最不违和
228,喊得最凶的不一定买的到，看国米一直没动静，张康阳肯定在跟梅西方面私下接触
229,同三弟，图片里有我毛，为何投票里没有我毛，不把我米兰放心上吗？
230,最希望来曼联，但好想看到去尤文报团
231,有钱，有瓜瓜，有坤坤，有欧冠，战术风格又合适，我想不出去其他球队的理由
232,广东宏远
233,100%曼城
234,看到那张阿森纳，做雾化的仪器都被我笑喷了
235,梅西别转会了吧，让我们国米球迷一直在树上挺好~~~
236,看着第一张图后面站着“毛抬厂三兄弟”，就剩我毛变其他选项了
237,上海上港！！！！！
238,我就想知道，梅西一走，苏牙一走，比达尔一走，巴萨下赛季需不需要为保级而战
239,皇马？
240,去尤文才有看头
241,穿切尔西的挺好看的
242,万万没想到会有今天
243,来来来，恒大欢迎你
244,恒大：想象到是我吧？？？？
245,阿根廷拿狗屎媒体能干什么瞎胡乱导报多少次了自己人都能坑
