电影名,类型,上映日期,时长（分）,导演,主要演员,全部演员,票房,豆瓣链接,豆瓣评分,豆瓣评分人数,豆瓣短评数,豆瓣长评数,猫眼评分,时光网评分,imdb评分
记忆折叠,悬疑 惊悚,2018-11-16(中国大陆),85,张博维  陈鹏翱 刘安琪,颜卓灵 张赫 曲尼次仁,颜卓灵 张赫 曲尼次仁 李诺诺 黄巾龙 张墨锡,309,https://movie.douban.com/subject/27614899/,3.5,310,131,5,,,
超时空大冒险,动画 冒险 家庭,2018-12-01(中国大陆),75,李宝坤,,,285,https://movie.douban.com/subject/30317053/,,0,23,0,6.9,,
肆式青春,动画,2018-08-04(日本/中国大陆),74,李豪凌 易小星 竹内良贵,坂泰斗 寿美菜子 白石晴香,坂泰斗 寿美菜子 白石晴香 安元洋贵 大冢刚央 长谷川育美 白客 彭师欣 唐雅菁 陈颖晖 梁达伟 林美玉,283,https://movie.douban.com/subject/30156898/,5.5,14889,5573,180,7.7,6.3,6.5
灵魂契约,惊悚 恐怖,2018-10-26(中国大陆),89,王辰六,王小岩 陆翊 王廷晖,王小岩 陆翊 王廷晖 贾明瑛,274,https://movie.douban.com/subject/30319598/,,0,43,6,5.6,,
大世界,剧情 犯罪 动画,2018-01-12(中国大陆),77,刘健,朱昌龙 曹寇 杨思明,朱昌龙 曹寇 杨思明 马晓峰 曹恺 刘健 薛峰 朱虹 王达 施海涛 郑懿,263,https://movie.douban.com/subject/26954003/,7.0,38497,14488,368,7.1,7.5,6.5
恐怖浴室,惊悚 恐怖,2018-06-08(中国大陆),90,陆诗雨,张星阑 刘国光 吴洋,张星阑 刘国光 吴洋 宋天湙 臧鸿飞,254,https://movie.douban.com/subject/30212351/,2.3,590,237,24,5,,
路过未来,剧情,2018-05-17(中国大陆),129,李睿珺,杨子姗 尹昉 李勤勤,杨子姗 尹昉 李勤勤 王婷 娜仁花 周波 陈雨锶 周云蓬,254,https://movie.douban.com/subject/26909423/,6.6,5455,2552,327,7.6,6.7,7.2
阿拉姜色,剧情 家庭,2018-10-26(中国大陆),109,松太加,容中尔甲 尼玛颂宋 赛却加,容中尔甲 尼玛颂宋 赛却加,244,https://movie.douban.com/subject/30181130/,7.6,11297,4179,169,8.7,7.6,7.1
解剖室灵异事件之男生宿舍,惊悚 恐怖,2018-08-31(中国大陆),85,战越,陈楚洹 黄启航 龚婉怡,陈楚洹 黄启航 龚婉怡 张艺舰 朱拉拉,239,https://movie.douban.com/subject/30263334/,,0,109,3,,,
午夜十二点,惊悚 恐怖,2018-04-28(中国大陆),87,张孝爽,谭佑铭 倪新宇 胡悦,谭佑铭 倪新宇 胡悦 孙亿舒 贺睿 冯雪鑫 王珞嘉 魏梦,236,https://movie.douban.com/subject/30187395/,,0,132,5,4.4,4.4,
纯洁心灵·逐梦演艺圈,剧情 喜剧,2018-02-09(中国大陆重映),98,毕志飞,朱哲健 李彦漫 陈思瀚,朱哲健 李彦漫 陈思瀚 张芷榕 毕志飞 蒋龙 薛皓 王渊慧 辛祚宇 兰海隆 姜珮瑶 郭庭 王笑一 马瑜遥 张琳然 刘子铭 王曲浩然 杨佳佳 刘玲钰,234,https://movie.douban.com/subject/26322774/,2.2,79984,31786,590,6.8,2.4,1.0
美丽童年,儿童,2018-07-13(中国大陆),90,陈静,周诗琪 郑子寒 胡伊睿,周诗琪 郑子寒 胡伊睿 刘一莹 姬他 李光复 王熙普 鲍大志 刘惠仪,233,https://movie.douban.com/subject/27194322/,,0,20,20,,,
恐怖快递,惊悚,2018-11-23(中国大陆),90,杨振豪,李晨浩 汤晶媚 沈建宏,李晨浩 汤晶媚 沈建宏 姚一奇 任娇 曾江,227,https://movie.douban.com/subject/26656814/,,0,100,1,3.1,,0
米花之味,剧情,2018-04-20(中国大陆),95,鹏飞,英泽 叶不勒 叶门,英泽 叶不勒 叶门 叶拼 林晓初 茶艾南,227,https://movie.douban.com/subject/27077266/,7.5,13446,5129,198,8.5,7.3,6.8
两个俏公主,儿童 动画 奇幻,2018-11-10(中国大陆),86,薛玉峥,,,223,https://movie.douban.com/subject/30353531/,,0,56,134,7.6,,
暮光·巴黎,爱情 奇幻,2018-10-26(中国大陆),91,万沥方 董方辰,塞缪尔·默瑟 西里尔·迪雷尔 苏珊娜·罗尔特-巴利特,塞缪尔·默瑟 西里尔·迪雷尔 苏珊娜·罗尔特-巴利特 米歇尔·贝尔 童菲 玛丽·布奈尔 艾瑞克·鲍尼恩 罗宾·希纳西 阿德里安·布吕尼耶 曹美丽,209,https://movie.douban.com/subject/26878103/,3.7,1035,367,48,6.8,4.8,
惊慌失色之诡寓,悬疑 惊悚,2018-08-24(中国大陆),86,齐迹,梁辰羽 樱雪 代佳夕,梁辰羽 樱雪 代佳夕 李卫东 杨一凡 齐迹 张公乐 高鸿炜 曾芳婷 徐凡 李子胤 李思贤 陈皓 沙轩,207,https://movie.douban.com/subject/30237381/,,0,69,17,5.1,,0
禹神传之寻找神力,动画 奇幻 冒险,2018-09-15(中国大陆),80,李金保,王雪沁 吴凡 周宗禹,王雪沁 吴凡 周宗禹 张艺文 唐泽宗,206,https://movie.douban.com/subject/30227727/,,0,31,1,,,
黄大年,剧情 传记,2018-12-12(中国大陆),89,成科,张秋歌 史可 哈斯高娃,张秋歌 史可 哈斯高娃 李卓琳 徐光宇,205,https://movie.douban.com/subject/30185236/,,0,54,2,,,
旅行吧！井底之蛙,动画 奇幻 冒险,2018-08-18(中国大陆),78,陈设,王雪沁 吴凡 周宗禹,王雪沁 吴凡 周宗禹 强光宗 张艺文 唐泽宗 濮心宇,204,https://movie.douban.com/subject/30236775/,,0,60,1,,,
时空偷渡少女,爱情 奇幻,2018-02-01(中国大陆),92,吴琴,王安琪 王辰硕 高寒,王安琪 王辰硕 高寒 廖成霖 严忆琳 高嵩 何志龙 包磊 隋丽娟 许金权 金逸文,201,https://movie.douban.com/subject/26873029/,4.0,590,202,52,,,
玲珑井,悬疑 惊悚,2018-03-16(中国大陆),81,海鹏,宋睿 罗翔 曾漪莲,宋睿 罗翔 曾漪莲 余爱笑 张佳浩 董海歌,198,https://movie.douban.com/subject/26984234/,2.5,356,142,6,3.5,3.7,
亲爱的，我要和别人结婚了,爱情 灾难,2018-05-12(中国大陆),92,覃傑,保剑锋 戚砚笛 徐一娢,保剑锋 戚砚笛 徐一娢 曹祎诺 康亢 秦佳 李小彤,194,https://movie.douban.com/subject/27608425/,4.0,660,272,23,8.1,,
西小河的夏天,剧情 家庭,2018-05-25(中国大陆),102,周全,张颂文 谭卓 顾宝明,张颂文 谭卓 顾宝明 董晴 荣梓杉,192,https://movie.douban.com/subject/26799232/,6.8,9281,3563,179,7.8,7.2,6.7
凌晨两点半,悬疑 惊悚,2018-04-13(中国大陆),86,王静儿,陈美行 周庚禹 王子航,陈美行 周庚禹 王子航 李哲羽 张敬阳 朱德丽 陈泽帆 胡大中 汪池 王思思 于亚男 张云海 张骆琳 陈快乐,187,https://movie.douban.com/subject/27200820/,2.6,359,170,8,2.7,3.5,
足球王者,动画 运动,2018-08-31(中国大陆),90,刘骏,禹祥 绿绮 瀚墨,禹祥 绿绮 瀚墨 囧森瑟夫 KIKI 莫谦,185,https://movie.douban.com/subject/30238277/,,0,17,7,8.4,,
让我怎么相信你,剧情 喜剧,2018-09-14(中国大陆),88,梁青儿 梁小凉,梁天 安乙荞 文松,梁天 安乙荞 文松 闫妮 关婷娜 叶萌 谢梦华,184,https://movie.douban.com/subject/30199575/,5.2,611,238,16,8.2,,
闽宁镇,剧情,2018-12-06(中国大陆),115,董玲,姬他 王洛勇 曹馨月,姬他 王洛勇 曹馨月 尚铁龙 周波 张圣岳 乌兰托雅朵,182,https://movie.douban.com/subject/30391495/,,0,28,7,,,
勇敢往事,剧情,2018-09-12(中国大陆),91,叶田,赵静 王勇 刘磊,赵静 王勇 刘磊 屠画 龚芳妮 潘兴源 范泽威 蒋敏斐 脑门额尔德尼,181,https://movie.douban.com/subject/27191430/,,0,332,41,,,
小狗奶瓶,儿童 家庭,2018-02-02(中国大陆),91,彭力,奶瓶 康潇诺 高婷婷,奶瓶 康潇诺 高婷婷 陈一榕 魏子涵 亓小飞,165,https://movie.douban.com/subject/27621546/,6.6,453,190,12,9,,
古墓兽影,动作 惊悚,2018-09-13(中国大陆),90,李麒麟,聂远 莫少聪 安泽豪,聂远 莫少聪 安泽豪 殷旭 范植伟 宋之光 段博文 骆佳,154,https://movie.douban.com/subject/30311865/,3.3,596,217,9,6.2,,3.6
黄金花,剧情,2018-04-28(中国大陆),91,陈大利,毛舜筠 凌文龙 吕良伟,毛舜筠 凌文龙 吕良伟 刘美君 冼色丽 余安安 谈善言 郑欣宜 江欣燕 林建明 林兆霞,151,https://movie.douban.com/subject/26868408/,6.6,5306,1814,63,8.5,6.8,6.3
细思极恐,惊悚 恐怖,2018-07-06(中国大陆),92,张跃斌,韩素媛 蓝波 庞贝童,韩素媛 蓝波 庞贝童 曹菡 徐子力 江森 王艺明 耿阳 周峰 邓刚,150,https://movie.douban.com/subject/30235134/,,0,225,3,4,,
毛骨悚然之红衣男孩,悬疑 惊悚,2018-06-01(中国大陆),86,孙杰,孙丹丹 陈奕鸣 孙家文,孙丹丹 陈奕鸣 孙家文 许喵喵,148,https://movie.douban.com/subject/30210411/,,0,136,4,5.2,,
