演员,id,参演电影总票房(亿),参演电影
王成思,1383525,65.4961,唐人街探案2 西虹市首富 李茶的姑妈
徐峥,1274297,57.8346,我不是药神 一出好戏 超时空同居 幕后玩家 江湖儿女
斯坦·李,1013888,55.1849,复仇者联盟3：无限战争 毒液：致命守护者 蚁人2：黄蜂女现身 蜘蛛侠：平行宇宙
王宝强,1274388,49.5707,唐人街探案2 一出好戏 祖宗十九代 冰封侠：时空行者
王迅,1317139,47.5274,唐人街探案2 一出好戏
约翰·盖蒂尔,1392772,47.0476,海王 毒液：致命守护者 蚁人2：黄蜂女现身
宁浩,1274265,45.1809,我不是药神 一出好戏 英雄本色2018
杜江,1322949,43.6555,红海行动 来电狂响 你好，之华
佟丽娅,1275756,42.9757,唐人街探案2 超时空同居
王砚辉,1322085,42.5309,我不是药神 无名之辈 幕后玩家
克里斯·帕拉特,1017967,40.8641,复仇者联盟3：无限战争 侏罗纪世界2
章宇,1322072,38.9448,我不是药神 无名之辈
艾伦,1350408,37.8649,西虹市首富 来电狂响 李茶的姑妈
井柏然,1274628,37.6844,捉妖记2 后来的我们 祖宗十九代
肖央,1274979,37.2509,唐人街探案2 猛虫过江 天气预爆
张译,1274761,37.2073,红海行动 江湖儿女
王强,1313047,36.6871,红海行动 中国蓝盔
尹昉,1340310,36.5332,红海行动 路过未来
黄景瑜,1354442,36.5078,红海行动
海清,1272245,36.5078,红海行动
蒋璐霞,1313597,36.5078,红海行动
郭家豪,1326477,36.5078,红海行动
王雨甜,1377802,36.5078,红海行动
麦亨利,1377803,36.5078,红海行动
张涵予,1274319,36.5078,红海行动
王彦霖,1350317,36.5078,红海行动
元华,1050240,35.6524,唐人街探案2 叶问外传：张天志 低压槽：欲望之城 泡菜爱上小龙虾
九孔,1274213,35.4573,西虹市首富 无名之辈 猛虫过江
刘昊然,1336305,34.9882,唐人街探案2 幸福马上来
范湉湉,1351495,34.6203,唐人街探案2 闺蜜2
曾江,1275451,34.3678,唐人街探案2 我是你妈 恐怖快递
杨金赐,1357013,33.9777,唐人街探案2 同名男子
刘承羽,1354641,33.9769,唐人街探案2
尚语贤,1351584,33.9769,唐人街探案2
妻夫木聪,1037028,33.9769,唐人街探案2
迈克尔·皮特,1000090,33.9769,唐人街探案2
白灵,1027192,33.9769,唐人街探案2
陈思诚,1274763,33.9769,唐人街探案2
张晨光,1275270,33.5198,西虹市首富 来电狂响 祖宗十九代
王力宏,1045243,33.1599,西虹市首富 无问西东 古剑奇谭之流月昭明
常远,1327084,32.7567,西虹市首富 李茶的姑妈 天气预爆
谭卓,1312976,32.3705,我不是药神 你好，之华 暴裂无声 西小河的夏天 吻隐者
沈腾,1325700,32.2071,西虹市首富 李茶的姑妈 龙虾刑警
徐冬冬,1315463,31.8214,西虹市首富 来电狂响
巴拉特·巴蒂,1396800,31.6183,我不是药神 印度暴徒
黄才伦,1363857,31.5192,西虹市首富 李茶的姑妈
陶亮,1353283,31.5192,西虹市首富 李茶的姑妈
岳小军,1310743,31.0742,我不是药神 未择之路
朱耕佑,1396885,31.0742,我不是药神 未择之路
杨新鸣,1275510,31.0317,我不是药神 二十岁
王佳佳,1317520,31.0128,我不是药神 伊阿索密码
苇青,1319163,31.0047,我不是药神 在天堂等我
王传君,1313837,30.9997,我不是药神
周一围,1276085,30.9997,我不是药神
贾晨飞,1391651,30.9997,我不是药神
龚蓓苾,1274298,30.9997,我不是药神
李乃文,1274530,30.9997,我不是药神
富冠铭,1396851,30.9997,我不是药神
喜利图,1396458,30.9997,我不是药神
张海艳,1396812,30.9997,我不是药神
利蒂希娅·赖特,1356810,30.9852,复仇者联盟3：无限战争 黑豹 通勤营救
包贝尔,1315866,30.7128,西虹市首富 胖子行动队 21克拉 武林怪兽 断片之险途夺宝 泡芙小姐 二十岁
查德维克·博斯曼,1327680,30.5312,复仇者联盟3：无限战争 黑豹
丹娜·奎里拉,1308787,30.5312,复仇者联盟3：无限战争 黑豹
温斯顿·杜克,1362864,30.5312,复仇者联盟3：无限战争 黑豹
弗洛伦丝·卡松巴,1357653,30.5312,复仇者联盟3：无限战争 黑豹
凯伦·吉兰,1036344,28.8246,复仇者联盟3：无限战争 勇敢者游戏：决战丛林
兰道尔·朴,1345622,28.341,海王 蚁人2：黄蜂女现身
娄艺潇,1313784,27.9251,捉妖记2 爱情公寓
宋芸桦,1341903,27.5122,西虹市首富 猛虫过江
李立群,1274438,27.5122,西虹市首富 猛虫过江
曾志伟,1002862,27.4862,捉妖记2 黄金兄弟 新乌龙院之笑闹江湖 英雄本色2018
塞缪尔·杰克逊,1054408,27.4613,复仇者联盟3：无限战争 超人总动员2 夺命来电
汉娜·乔恩-卡门,1350528,27.2569,头号玩家 蚁人2：黄蜂女现身 古墓丽影：源起之战
约瑟夫·阿梅,1201081,27.0222,毒液：致命守护者 蚁人2：黄蜂女现身
威廉·W·巴伯,1393373,27.0222,毒液：致命守护者 蚁人2：黄蜂女现身
玛塞拉·布拉吉奥,1393377,27.0222,毒液：致命守护者 蚁人2：黄蜂女现身
杰克·汉森,1393383,27.0222,毒液：致命守护者 蚁人2：黄蜂女现身
卡茜·亨德利,1393370,27.0222,毒液：致命守护者 蚁人2：黄蜂女现身
范·迪塞尔,1041020,26.6169,复仇者联盟3：无限战争 无敌破坏王2：大闹互联网
本尼西奥·德尔·托罗,1041005,26.5847,复仇者联盟3：无限战争 星球大战8：最后的绝地武士
西蒙·佩吉,1035648,26.4188,头号玩家 碟中谍6：全面瓦解
戴夫·巴蒂斯塔,1014003,26.1355,叶问外传：张天志 复仇者联盟3：无限战争 金蝉脱壳2：冥府
于和伟,1313742,26.1354,一出好戏 超时空同居 幕后玩家
杨皓宇,1318482,25.5809,西虹市首富 天慕
骆佳,1325207,25.4911,西虹市首富 古墓兽影
张一鸣,1322777,25.4757,西虹市首富
魏翔,1355058,25.4757,西虹市首富
赵自强,1340727,25.4757,西虹市首富
郎咸平,1397905,25.4757,西虹市首富
张绍刚,1334707,25.4757,西虹市首富
杨文哲,1383466,25.4757,西虹市首富
王赞,1398189,25.4757,西虹市首富
黄杨,1320285,25.4757,西虹市首富
刘鉴,1327338,25.4757,西虹市首富
杨沅翰,1367693,25.4757,西虹市首富
林炳宝,1345373,25.4757,西虹市首富
陈昊明,1344888,25.4757,西虹市首富
臧一人,1385697,25.4757,西虹市首富
大鹏,1324043,25.1705,捉妖记2 祖宗十九代 21克拉
保罗·贝坦尼,1003482,24.9685,复仇者联盟3：无限战争 游侠索罗：星球大战外传
黄凯旋,1301179,24.5661,复仇者联盟3：无限战争 湮灭
彼特·丁拉基,1019009,24.5552,复仇者联盟3：无限战争 三块广告牌
佐伊·索尔达娜,1047985,24.3734,复仇者联盟3：无限战争 小马宝莉大电影
斯嘉丽·约翰逊,1054453,24.3406,复仇者联盟3：无限战争 犬之岛
德维卡·帕利赫,1133501,24.2828,海王 蜘蛛侠：平行宇宙
本尼迪克特·康伯巴奇,1009405,24.1697,复仇者联盟3：无限战争 绿毛怪格林奇
梁朝伟,1115918,24.1003,捉妖记2 欧洲攻略 阿飞正传
吴君如,1127819,24.0692,捉妖记2 祖宗十九代
黄磊,1037715,24.0692,捉妖记2 祖宗十九代
张俪,1316159,24.0692,捉妖记2 祖宗十九代
汤姆·希德勒斯顿,1004596,23.9413,复仇者联盟3：无限战争 无敌原始人
小罗伯特·唐尼,1016681,23.9053,复仇者联盟3：无限战争
克里斯·海姆斯沃斯,1021959,23.9053,复仇者联盟3：无限战争
克里斯·埃文斯,1017885,23.9053,复仇者联盟3：无限战争
马克·鲁弗洛,1040505,23.9053,复仇者联盟3：无限战争
乔什·布洛林,1004568,23.9053,复仇者联盟3：无限战争
汤姆·赫兰德,1325351,23.9053,复仇者联盟3：无限战争
伊丽莎白·奥尔森,1129847,23.9053,复仇者联盟3：无限战争
塞巴斯蒂安·斯坦,1021985,23.9053,复仇者联盟3：无限战争
唐·钱德尔,1053573,23.9053,复仇者联盟3：无限战争
安东尼·麦凯,1027217,23.9053,复仇者联盟3：无限战争
布莱德利·库珀,1013757,23.9053,复仇者联盟3：无限战争
庞·克莱门捷夫,1313255,23.9053,复仇者联盟3：无限战争
凯莉·库恩,1342808,23.9053,复仇者联盟3：无限战争
汤姆-沃恩-劳勒,1332428,23.9053,复仇者联盟3：无限战争
海登·瓦尔希,1167439,23.9053,复仇者联盟3：无限战争
迈克尔·詹姆斯·肖,1344984,23.9053,复仇者联盟3：无限战争
泰瑞·诺塔里,1341026,23.9053,复仇者联盟3：无限战争
罗斯·马昆德,1348037,23.9053,复仇者联盟3：无限战争
雅各布·巴特朗,1376777,23.9053,复仇者联盟3：无限战争
柳岩,1312846,23.8289,捉妖记2 叶问外传：张天志 古剑奇谭之流月昭明
姜超,1274652,22.6744,捉妖记2 奇葩朵朵 地下凶猛 无法触碰的爱
伍嘉成,1357678,22.512,捉妖记2 古剑奇谭之流月昭明
白百何,1275542,22.3708,捉妖记2
李宇春,1274227,22.3708,捉妖记2
杨祐宁,1051157,22.3708,捉妖记2
吴莫愁,1326741,22.3708,捉妖记2
赵磊,1356855,22.3708,捉妖记2
谷嘉诚,1356456,22.3708,捉妖记2
彭楚粤,1360384,22.3708,捉妖记2
陈泽希,1371736,22.3708,捉妖记2
郭子凡,1357225,22.3708,捉妖记2
肖战,1360615,22.3708,捉妖记2
焉栩嘉,1364488,22.3708,捉妖记2
夏之光,1371733,22.3708,捉妖记2
道恩·强森,1044707,21.6569,狂暴巨兽 摩天营救 勇敢者游戏：决战丛林
叶海亚·阿卜杜勒-迈丁,1374708,21.0379,海王 马戏之王
卡米尔·雷米泽斯基,1390233,20.9477,侏罗纪世界2 神奇动物：格林德沃之罪
杜夫·龙格尔,1040508,20.5391,海王 深海越狱
帕特里克·威尔森,1006919,20.4794,海王 通勤营救
伍迪·哈里森,1053560,20.4197,毒液：致命守护者 游侠索罗：星球大战外传 三块广告牌
杰森·莫玛,1022614,20.0254,海王
艾梅柏·希尔德,1044702,20.0254,海王
威廉·达福,1010539,20.0254,海王
妮可·基德曼,1054442,20.0254,海王
特穆拉·莫里森,1013898,20.0254,海王
林路迪,1351645,20.0254,海王
迈克尔·比奇,1041218,20.0254,海王
格拉汉姆·麦克泰维什,1323191,20.0254,海王
雷·沃纳尔,1014029,20.0254,海王
泰努伊·柯克伍德,1406310,20.0254,海王
塔穆尔·柯克伍德,1406311,20.0254,海王
丹泽尔·夸克,1406390,20.0254,海王
卡恩·古尔杜尔,1385540,20.0254,海王
奥蒂斯·丹吉,1405972,20.0254,海王
克考亚·克库毛诺,1406391,20.0254,海王
朱莉·安德鲁斯,1041081,20.0254,海王
约翰·瑞斯-戴维斯,1147054,20.0254,海王
杰曼·翰苏,1044880,20.0254,海王
索菲亚·福雷斯特,1406293,20.0254,海王
娜塔莉亚姗福瑞,1336790,20.0254,海王
杰克·安德鲁,1406307,20.0254,海王
汉克·阿莫斯,1277175,20.0254,海王
帕特里克·考克斯,1406295,20.0254,海王
罗伯特·朗斯特里特,1390002,20.0254,海王
梅布尔·塔莫内,1406306,20.0254,海王
文森特·B·拉戈斯,1256160,20.0254,海王
加布里埃拉·佩特科娃,1406296,20.0254,海王
爱丽丝·兰斯伯里,1406294,20.0254,海王
帕特里克·艾奇逊,1406299,20.0254,海王
塔丽亚·杰德·霍尔特,1406292,20.0254,海王
罗斯·克纳汉,1406300,20.0254,海王
布拉登·刘易斯,1406309,20.0254,海王
萨尔瓦多·梅伦达,1406308,20.0254,海王
山姆·莫纳汉,1406305,20.0254,海王
温妮·穆赞贝,1406301,20.0254,海王
凯·潘塔诺,1254341,20.0254,海王
安娜·帕奇,1406297,20.0254,海王
乔恩·奎斯蒂德,1406303,20.0254,海王
迪伦·斯图默,1406302,20.0254,海王
米奇·武尔夫,1406298,20.0254,海王
郭富城,1041390,20.0114,无双 西游记女儿国
米歇尔·威廉姆斯,1049491,19.8455,毒液：致命守护者 马戏之王 金钱世界 超大号美人
潘斌龙,1316365,19.5664,无名之辈 西游记女儿国 猛虫过江 幸福马上来 武林怪兽 断片之险途夺宝
周冬雨,1274224,19.5579,后来的我们 动物世界 武林怪兽 那些女人
安吉拉·贝塞特,1025214,19.0781,碟中谍6：全面瓦解 黑豹
汤姆·哈迪,1049489,18.7066,毒液：致命守护者
里兹·阿迈德,1036731,18.7066,毒液：致命守护者
斯科特·黑兹,1335114,18.7066,毒液：致命守护者
 瑞德·斯科特,1217248,18.7066,毒液：致命守护者
珍妮·斯蕾特,1230973,18.7066,毒液：致命守护者
梅罗拉·沃特斯,1027275,18.7066,毒液：致命守护者
佩吉·陆,1404224,18.7066,毒液：致命守护者
马尔科姆·C·默里,1404225,18.7066,毒液：致命守护者
索佩·阿卢科,1394702,18.7066,毒液：致命守护者
韦恩·佩雷,1340010,18.7066,毒液：致命守护者
米歇尔·李,1318105,18.7066,毒液：致命守护者
库尔特·岳,1374220,18.7066,毒液：致命守护者
克里斯·奥哈拉,1129641,18.7066,毒液：致命守护者
埃米里奥·瑞弗拉,1032260,18.7066,毒液：致命守护者
阿里亚当娜·约瑟夫,1377683,18.7066,毒液：致命守护者
袁之正,1354776,18.7066,毒液：致命守护者
朴云龙,1127857,18.7066,毒液：致命守护者
麦克·勃兰特,1396099,18.7066,毒液：致命守护者
尼克·图恩,1252978,18.7066,毒液：致命守护者
山姆·麦地那,1336516,18.7066,毒液：致命守护者
迪塞尔·马德金斯,1379201,18.7066,毒液：致命守护者
简·麦克尼尔,1333618,18.7066,毒液：致命守护者
维克托·麦凯,1217124,18.7066,毒液：致命守护者
马丁·巴特斯·布拉德福德,1389734,18.7066,毒液：致命守护者
布兰顿·莫拉莱斯,1326005,18.7066,毒液：致命守护者
马修·康威尔,1385584,18.7066,毒液：致命守护者
韦德·威廉姆斯,1167705,18.7066,毒液：致命守护者
卡特·伯奇,1385023,18.7066,毒液：致命守护者
克里斯蒂安·康佛瑞,1396337,18.7066,毒液：致命守护者
詹姆斯·富尔特斯,1227958,18.7066,毒液：致命守护者
丹妮拉·加斯基,1392732,18.7066,毒液：致命守护者
艾米丽塔·T·冈萨雷斯,1392770,18.7066,毒液：致命守护者
安东尼·B·哈里斯,1266890,18.7066,毒液：致命守护者
罗恩·彼得·琼斯,1366562,18.7066,毒液：致命守护者
霍梅洛·洛佩兹,1388260,18.7066,毒液：致命守护者
万恩·姆约维奇,1393372,18.7066,毒液：致命守护者
丹尼尔·斯蒂森,1352422,17.4886,侏罗纪世界2 流浪猫鲍勃
杰夫·高布伦,1025109,17.3941,侏罗纪世界2 犬之岛
廖启智,1274268,17.2834,无双 反贪风暴3 解码游戏 兄弟班
张松枝,1339097,17.1674,无双 反贪风暴3
丹尼尔·厄根,1367202,17.1087,侏罗纪世界2 汪星卧底
迈克尔·帕帕约翰,1040856,17.0557,解码游戏 侏罗纪世界2
布莱丝·达拉斯·霍华德,1027772,16.9588,侏罗纪世界2
贾斯蒂斯·史密斯,1350981,16.9588,侏罗纪世界2
伊莎贝拉·瑟蒙,1394999,16.9588,侏罗纪世界2
拉菲·斯波,1032169,16.9588,侏罗纪世界2
托比·琼斯,1107884,16.9588,侏罗纪世界2
泰德·拉文,1017934,16.9588,侏罗纪世界2
詹姆斯·克伦威尔,1006992,16.9588,侏罗纪世界2
黄荣亮,1054808,16.9588,侏罗纪世界2
丹妮艾拉·皮内达,1330042,16.9588,侏罗纪世界2
杰拉丁·卓别林,1025238,16.9588,侏罗纪世界2
皮特·杰森,1110336,16.9588,侏罗纪世界2
罗伯特·埃姆斯,1268975,16.9588,侏罗纪世界2
罗南·萨莫尔斯,1336753,16.9588,侏罗纪世界2
麦克斯·贝克,1356336,16.9588,侏罗纪世界2
戴维·奥拉瓦莱·阿印德,1392996,16.9588,侏罗纪世界2
沃尔顿·戈金斯,1098551,16.4431,蚁人2：黄蜂女现身 古墓丽影：源起之战 移动迷宫3：死亡解药
杨玏,1321825,15.3445,超时空同居 来电狂响
鲍比·坎纳瓦尔,1044985,14.955,蚁人2：黄蜂女现身 勇敢者游戏：决战丛林 公牛历险记
拉尔夫·尹爱森,1108378,14.9179,头号玩家 飓风奇劫
高捷,1276076,14.8277,无双 猛虫过江 西北风云 因果启示录
玛德琳·麦格劳,1390576,14.6478,蚁人2：黄蜂女现身 环太平洋：雷霆再起
奥拉维尔·达里·奥拉夫松,1032826,14.5067,巨齿鲨 神奇动物：格林德沃之罪
泰伊·谢里丹,1328390,13.9666,头号玩家
奥利维亚·库克,1327806,13.9666,头号玩家
本·门德尔森,1000248,13.9666,头号玩家
马克·里朗斯,1014239,13.9666,头号玩家
丽娜·维特,1255571,13.9666,头号玩家
森崎温,1369068,13.9666,头号玩家
赵家正,1390198,13.9666,头号玩家
T·J·米勒,1248294,13.9666,头号玩家
苏珊·林奇,1018158,13.9666,头号玩家
克莱尔·希金斯,1041298,13.9666,头号玩家
劳伦斯·斯佩尔曼,1344523,13.9666,头号玩家
佩蒂塔·维克斯,1163626,13.9666,头号玩家
艾萨克·安德鲁斯,1342065,13.9666,头号玩家
施予斐,1314249,13.6163,后来的我们 梭哈人生
田壮壮,1274287,13.6152,后来的我们
曲哲明,1355411,13.6152,后来的我们
刘启恒,1358221,13.6152,后来的我们
苏小明,1275538,13.6152,后来的我们
邹倚天,1318927,13.6152,后来的我们
张子贤,1374201,13.6152,后来的我们
李剑青,1392358,13.6152,后来的我们
李勤勤,1274639,13.5809,一出好戏 路过未来 在天堂等我
梁静,1274641,13.5636,一出好戏 伊阿索密码
黄渤,1274242,13.5505,一出好戏
舒淇,1138320,13.5505,一出好戏
张艺兴,1338949,13.5505,一出好戏
李又麟,1316745,13.5505,一出好戏
管虎,1274919,13.5505,一出好戏
陈德森,1313007,13.5505,一出好戏
张磊,1318092,13.5505,一出好戏
方中信,1033102,13.5368,无双 武林怪兽 梦境之源
丽贝卡·弗格森,1088314,13.4647,碟中谍6：全面瓦解 马戏之王
迈克尔·道格拉斯,1053620,13.4124,动物世界 蚁人2：黄蜂女现身
冯绍峰,1275721,13.3372,西游记女儿国 狄仁杰之四大天王
张静初,1016668,12.9348,无双 泡芙小姐 我的影子在奔跑
邢佳栋,1274762,12.74,无双 我是检察官
冯文娟,1325753,12.7388,无双 请你记住我
周润发,1044899,12.7376,无双
周家怡,1321491,12.7376,无双
王耀庆,1316330,12.7376,无双
张建声,1323927,12.7376,无双
吴嘉龙,1214684,12.7376,无双
孙佳君,1050664,12.7376,无双
卡斯珀·菲利普森,1367551,12.4735,碟中谍6：全面瓦解 第一夫人
汤姆·克鲁斯,1054435,12.4522,碟中谍6：全面瓦解
亨利·卡维尔,1044713,12.4522,碟中谍6：全面瓦解
文·瑞姆斯,1048129,12.4522,碟中谍6：全面瓦解
西恩·哈里斯,1286119,12.4522,碟中谍6：全面瓦解
凡妮莎·柯比,1317680,12.4522,碟中谍6：全面瓦解
米歇尔·莫纳汉,1000015,12.4522,碟中谍6：全面瓦解
韦斯·本特利,1049518,12.4522,碟中谍6：全面瓦解
费雷德里克·施密特,1388344,12.4522,碟中谍6：全面瓦解
亚历克·鲍德温,1000011,12.4522,碟中谍6：全面瓦解
杨亮,1398252,12.4522,碟中谍6：全面瓦解
克里斯托弗·约纳尔,1050483,12.4522,碟中谍6：全面瓦解
沃尔夫·布利策,1065337,12.4522,碟中谍6：全面瓦解
拉斐尔·琼勒,1398243,12.4522,碟中谍6：全面瓦解
安德鲁·卡扎纳夫·平,1392979,12.4522,碟中谍6：全面瓦解
克里斯多夫·德·舒瓦西,1398244,12.4522,碟中谍6：全面瓦解
拉裴尔·德普雷,1390688,12.4522,碟中谍6：全面瓦解
让·巴普蒂斯特·菲永,1392983,12.4522,碟中谍6：全面瓦解
马克斯·盖勒,1398242,12.4522,碟中谍6：全面瓦解
奥利维尔·体班德,1392980,12.4522,碟中谍6：全面瓦解
亚历山大·普尔,1392982,12.4522,碟中谍6：全面瓦解
阿利克斯·贝纳泽什,1392974,12.4522,碟中谍6：全面瓦解
乔伊·安沙,1036954,12.4522,碟中谍6：全面瓦解
维利贝·托皮奇,1320241,12.4522,碟中谍6：全面瓦解
格雷厄姆·福克斯,1392998,12.4522,碟中谍6：全面瓦解
菲恩·乔利,1392988,12.4522,碟中谍6：全面瓦解
鲁斯·贝恩,1392999,12.4522,碟中谍6：全面瓦解
奈杰尔·艾伦,1392993,12.4522,碟中谍6：全面瓦解
杰克·莱西,1344101,11.7625,狂暴巨兽 憨豆特工3
小沈阳,1274081,11.2296,西游记女儿国 猛虫过江 天气预爆 断片之险途夺宝 我说的都是真的
李冰冰,1040990,11.0128,谜巢 巨齿鲨
杰森·斯坦森,1049484,10.5178,巨齿鲨
雷恩·威尔森,1004593,10.5178,巨齿鲨
鲁比·罗丝,1344655,10.5178,巨齿鲨
赵文瑄,1018759,10.5178,巨齿鲨
佩吉·肯尼迪,1189719,10.5178,巨齿鲨
杰西卡·麦克娜美,1313567,10.5178,巨齿鲨
罗伯特·泰勒,1324622,10.5178,巨齿鲨
蔡书雅,1376312,10.5178,巨齿鲨
丘增,1013935,10.5178,巨齿鲨
克利夫·柯蒂斯,1022578,10.5178,巨齿鲨
安佑森,1369789,10.5178,巨齿鲨
罗伯·基帕-威廉姆斯,1397152,10.5178,巨齿鲨
维他亚·潘斯林加姆,1328946,10.5178,巨齿鲨
安得烈·格兰杰,1362950,10.5178,巨齿鲨
蒂姆·王,1369792,10.5178,巨齿鲨
史蒂文·A·戴维斯,1361777,10.5178,巨齿鲨
托万达·马尼莫,1371501,10.5178,巨齿鲨
买红妹,1317605,10.5178,巨齿鲨
梅·维贾,1383897,10.3266,神秘巨星 小萝莉的猴神大叔
娜奥米·哈里斯,1049542,10.0395,狂暴巨兽
杰弗里·迪恩·摩根,1044708,10.0395,狂暴巨兽
玛琳·阿克曼,1058055,10.0395,狂暴巨兽
乔·曼根尼罗,1013768,10.0395,狂暴巨兽
玛丽·谢尔顿,1002691,10.0395,狂暴巨兽
P·J·伯恩,1321106,10.0395,狂暴巨兽
德米垂斯·格罗斯,1237330,10.0395,狂暴巨兽
杰克·奎德,1321661,10.0395,狂暴巨兽
布里安·希尔,1349378,10.0395,狂暴巨兽
马特·杰拉德,1326994,10.0395,狂暴巨兽
李威尹,1000192,10.0395,狂暴巨兽
尤里亚·费伯,1253994,10.0395,狂暴巨兽
布鲁斯·布莱克希尔,1391454,10.0395,狂暴巨兽
杰森·莱尔斯,1380780,10.0395,狂暴巨兽
马克·威尔斯,1391455,10.0395,狂暴巨兽
阿莉莎·布鲁克,1391456,10.0395,狂暴巨兽
亚当·希泰凯尔,1314906,10.0395,狂暴巨兽
加里·维克斯,1019215,10.0395,狂暴巨兽
阿诺德·陈,1251111,10.0395,狂暴巨兽
范明,1274655,9.5089,超时空同居 遇见你真好
李光洁,1275178,9.3796,超时空同居 战神纪
苑琼丹,1274445,9.3637,西游记女儿国 猛虫过江 给19岁的我自己 泡菜爱上小龙虾
露皮塔·尼永奥,1334862,9.3053,黑豹 星球大战8：最后的绝地武士
安迪·瑟金斯,1002708,9.3053,黑豹 星球大战8：最后的绝地武士
约翰·博耶加,1339915,9.0116,环太平洋：雷霆再起 星球大战8：最后的绝地武士
杨迪,1317329,9.001,超时空同居 毕业旅行笑翻天
雷佳音,1312940,8.9988,超时空同居
张衣,1325751,8.9988,超时空同居
王正佳,1394280,8.9988,超时空同居
陶虹,1015199,8.9988,超时空同居
李念,1274508,8.9988,超时空同居
方龄,1350679,8.9988,超时空同居
陈昊,1391980,8.9988,超时空同居
林志玲,1036839,8.9722,西游记女儿国 祖宗十九代
李成敏,1336802,8.9669,来电狂响 胖子行动队 三国杀·幻
斯特林·K·布朗,1325589,8.7946,黑豹 铁血战士
迈克尔·佩纳,1131634,8.7837,蚁人2：黄蜂女现身 小马宝莉大电影
邓恩熙,1369977,8.7471,无名之辈 你好，之华
黄晓明,1041404,8.4563,无问西东 金蝉脱壳2：冥府
赵又廷,1274608,8.4082,狄仁杰之四大天王 南极之恋
保罗·路德,1002667,8.3156,蚁人2：黄蜂女现身
伊万杰琳·莉莉,1021963,8.3156,蚁人2：黄蜂女现身
朱迪·格雷尔,1009256,8.3156,蚁人2：黄蜂女现身
T.I.,1027329,8.3156,蚁人2：黄蜂女现身
大卫·达斯马齐连,1337583,8.3156,蚁人2：黄蜂女现身
艾比·莱德·弗特森,1343373,8.3156,蚁人2：黄蜂女现身
米歇尔·菲佛,1035642,8.3156,蚁人2：黄蜂女现身
劳伦斯·菲什伯恩,1022596,8.3156,蚁人2：黄蜂女现身
戈兰·卡斯蒂克,1178320,8.3156,蚁人2：黄蜂女现身
罗布·阿切尔,1396167,8.3156,蚁人2：黄蜂女现身
肖恩·克莱尔,1365341,8.3156,蚁人2：黄蜂女现身
本·戴维斯,1175521,8.3156,蚁人2：黄蜂女现身
迈克尔·瑟沃瑞斯,1070527,8.3156,蚁人2：黄蜂女现身
达克斯·格里芬,1091276,8.3156,蚁人2：黄蜂女现身
海莉·洛维特,1349025,8.3156,蚁人2：黄蜂女现身
蒂姆·海德克,1004932,8.3156,蚁人2：黄蜂女现身
布莱恩·赫斯基,1191173,8.3156,蚁人2：黄蜂女现身
朱莉娅·维拉,1300005,8.3156,蚁人2：黄蜂女现身
布莱恩·卢戈,1188983,8.3156,蚁人2：黄蜂女现身
托里·沃格尔,1328831,8.3156,蚁人2：黄蜂女现身
汤姆·夏普林,1005520,8.3156,蚁人2：黄蜂女现身
安迪·阿尼斯,1014625,8.3156,蚁人2：黄蜂女现身
塞尔吉奥·布里奥内斯,1392779,8.3156,蚁人2：黄蜂女现身
乔·布卡罗三世,1074157,8.3156,蚁人2：黄蜂女现身
蒂莫西·卡尔,1392730,8.3156,蚁人2：黄蜂女现身
贾迈尔·钱伯斯,1392777,8.3156,蚁人2：黄蜂女现身
扎卡里·卡伯森,1253019,8.3156,蚁人2：黄蜂女现身
雅各布·埃文斯,1392727,8.3156,蚁人2：黄蜂女现身
米歇尔·方,1394733,8.3156,蚁人2：黄蜂女现身
盖尔·甘布尔,1394735,8.3156,蚁人2：黄蜂女现身
克里斯·加恩,1000893,8.3156,蚁人2：黄蜂女现身
佐伊·克罗维兹,1229502,8.2463,蜘蛛侠：平行宇宙 神奇动物：格林德沃之罪
阿米尔·汗,1031931,8.0893,神秘巨星 印度暴徒
郑恺,1275564,7.9965,影 祖宗十九代 张艺谋和他的“影”
陈建斌,1274626,7.9451,无名之辈
任素汐,1362973,7.9451,无名之辈
马吟吟,1352249,7.9451,无名之辈
程怡,1325067,7.9451,无名之辈
宁桓宇,1340457,7.9451,无名之辈
谢波,1353699,7.9451,无名之辈
范翔,1404396,7.9451,无名之辈
赵梓冲,1404397,7.9451,无名之辈
史策,1388977,7.9451,无名之辈
马睿瀚,1390556,7.9451,无名之辈
林海,1404398,7.9451,无名之辈
邓钢,1324500,7.9451,无名之辈
法如克·贾法尔,1313210,7.8321,神秘巨星 苏丹
奚梦瑶,1337674,7.7624,来电狂响 断片之险途夺宝 金蝉脱壳2：冥府
林美秀,1316086,7.6708,无问西东 为你写诗
奥斯卡·伊萨克,1012481,7.6543,蜘蛛侠：平行宇宙 湮灭 迷镇凶案 星球大战8：最后的绝地武士
张晋,1318005,7.6491,叶问外传：张天志 环太平洋：雷霆再起
吴谨言,1337020,7.6417,无问西东 说走就走之不说再见
谢天华,1010833,7.6152,反贪风暴3 黄金兄弟 三国杀·幻
祖锋,1313650,7.5926,无问西东 那些女人
纪帅,1371530,7.5551,无问西东 忠犬大营救
章子怡,1041014,7.543,无问西东
张震,1077991,7.543,无问西东
陈楚生,1316875,7.543,无问西东
铁政,1313358,7.543,无问西东
米雪,1275431,7.543,无问西东
王盛德,1032117,7.543,无问西东
韩童生,1274722,7.543,无问西东
王鑫,1335594,7.543,无问西东
