Source,Target,Type,Id,Label,timeset,Weight,,,,,
1009718,1009508,Undirected,17634,,,142,,,,,
1009697,1009707,Undirected,19203,,,141,,,,,
1009368,1009187,Undirected,17424,,,140,,,,,
1009220,1009187,Undirected,17513,,,140,,,,,
1009726,1009327,Undirected,17397,,,139,,,,,
1009368,1009189,Undirected,17438,,,139,,,,,
1009629,1009159,Undirected,18379,,,139,,,,,
1009175,1009512,Undirected,18522,,,138,,,,,
1009662,1009281,Undirected,18110,,,136,,,,,
1009243,1009362,Undirected,18581,,,136,,,,,
1009356,1009281,Undirected,17971,,,135,,,,,
1009368,1009459,Undirected,17426,,,132,,,,,
1009220,1009524,Undirected,17543,,,132,,,,,
1009165,1009719,Undirected,17750,,,132,,,,,
1009338,1009707,Undirected,19042,,,132,,,,,
1009165,1009189,Undirected,17724,,,131,,,,,
1009165,1010338,Undirected,17725,,,130,,,,,
1009175,1009310,Undirected,18530,,,129,,,,,
1009362,1009313,Undirected,19090,,,129,,,,,
1009262,1009189,Undirected,18035,,,128,,,,,
1009368,1009662,Undirected,17415,,,127,,,,,
1009257,1009512,Undirected,18182,,,127,,,,,
1009366,1009281,Undirected,18459,,,127,,,,,
1009313,1009512,Undirected,19252,,,127,,,,,
1009610,1009608,Undirected,17303,,,126,,,,,
1009546,1009417,Undirected,18886,,,126,,,,,
1009546,1009182,Undirected,18894,,,126,,,,,
1009243,1009417,Undirected,18595,,,125,,,,,
1009546,1009362,Undirected,18872,,,125,,,,,
1009610,1009459,Undirected,17243,,,124,,,,,
1009220,1009608,Undirected,17572,,,124,,,,,
1009243,1009159,Undirected,18582,,,124,,,,,
1009159,1009512,Undirected,19151,,,123,,,,,
1009175,1009504,Undirected,18529,,,122,,,,,
1009220,1009662,Undirected,17504,,,121,,,,,
1009243,1009313,Undirected,18584,,,121,,,,,
1009368,1009608,Undirected,17485,,,120,,,,,
1009220,1009356,Undirected,17502,,,120,,,,,
1009356,1009583,Undirected,17968,,,120,,,,,
1009187,1009697,Undirected,18698,,,120,,,,,
1009368,1011490,Undirected,17459,,,119,,,,,
1009368,1009719,Undirected,17464,,,119,,,,,
1009546,1009337,Undirected,18893,,,119,,,,,
1009313,1009182,Undirected,19263,,,119,,,,,
1009707,1011490,Undirected,19650,,,119,,,,,
1009277,1009705,Undirected,20259,,,118,,,,,
1009610,1009726,Undirected,17222,,,117,,,,,
1009472,1009508,Undirected,18949,,,117,,,,,
1009407,1009480,Undirected,19812,,,117,,,,,
1009165,1009299,Undirected,17698,,,116,,,,,
